# Min values: 183.7, 260.4, 197.3, 264.8, 241.0
# Max values: 325.8, 382.5, 285.0, 378.7, 439.8
# Starting CSV logging...
time_ms,raw0,raw1,raw2,raw3,raw4,gyroX_dps,gyroY_dps,gyroZ_dps,norm0,norm1,norm2,norm3,norm4,gestureID,Button
3852,167,269,198,303,260,8.206,-0.611,1.450,0.0000,0.0707,0.0075,0.3351,0.0954,1,0
3901,167,269,198,302,260,4.893,-1.214,0.489,0.0000,0.0707,0.0075,0.3264,0.0954,1,0
3953,167,269,198,302,259,0.679,0.504,1.397,0.0000,0.0707,0.0075,0.3264,0.0904,1,0
4002,168,269,198,302,259,5.740,3.870,-0.756,0.0000,0.0707,0.0075,0.3264,0.0904,1,0
4053,167,269,198,303,259,5.382,7.786,0.931,0.0000,0.0707,0.0075,0.3351,0.0904,1,0
4102,167,269,198,302,259,4.809,5.115,1.664,0.0000,0.0707,0.0075,0.3264,0.0904,1,0
4153,167,269,198,303,259,3.908,5.954,1.855,0.0000,0.0707,0.0075,0.3351,0.0904,1,0
4202,167,269,198,302,259,7.885,2.267,0.252,0.0000,0.0707,0.0075,0.3264,0.0904,1,0
4254,167,270,198,302,259,3.130,3.649,0.023,0.0000,0.0789,0.0075,0.3264,0.0904,1,0
4303,167,270,198,303,259,10.939,2.847,-1.061,0.0000,0.0789,0.0075,0.3351,0.0904,1,0
4350,167,270,198,303,259,4.084,1.382,0.550,0.0000,0.0789,0.0075,0.3351,0.0904,1,0
4403,167,270,198,303,259,7.389,2.847,-1.695,0.0000,0.0789,0.0075,0.3351,0.0904,1,0
4450,167,270,199,303,259,3.931,5.328,-2.908,0.0000,0.0789,0.0189,0.3351,0.0904,1,0
4503,167,270,198,303,259,13.542,-2.420,0.176,0.0000,0.0789,0.0075,0.3351,0.0904,1,0
4551,167,269,199,303,259,4.824,0.656,-2.076,0.0000,0.0707,0.0189,0.3351,0.0904,1,0
4604,167,269,198,303,258,10.611,-1.802,-3.137,0.0000,0.0707,0.0075,0.3351,0.0853,1,0
4651,167,268,198,302,258,4.038,-0.107,-1.855,0.0000,0.0625,0.0075,0.3264,0.0853,1,0
4700,167,268,198,302,259,5.962,-1.847,-3.191,0.0000,0.0625,0.0075,0.3264,0.0904,1,0
4751,167,268,198,301,259,3.802,-0.519,-2.641,0.0000,0.0625,0.0075,0.3176,0.0904,1,0
4800,167,268,198,301,258,6.366,-1.473,-2.260,0.0000,0.0625,0.0075,0.3176,0.0853,1,0
4854,244,318,266,343,312,7.863,-5.580,-5.313,0.4246,0.4717,0.7829,0.6864,0.3571,1,1
4901,318,367,333,384,363,8.237,-4.344,-3.611,0.9453,0.8728,1.0000,1.0000,0.6137,1,1
4950,325,371,339,387,368,13.656,-8.351,-0.916,0.9945,0.9055,1.0000,1.0000,0.6388,1,1
5003,327,371,340,387,368,6.427,-9.298,0.969,1.0000,0.9055,1.0000,1.0000,0.6388,1,1
